,fullname,team,birthdate,country,height,weight,Onedayraces,GC,Sprint,Climber,TT,Hills,UCI-Rank,rider_url
334,Pelayo  Sánchez,Movistar Team,27 March 2000,Spain,1.77,62.0,202,225,0,432,68,224,160,https://www.procyclingstats.com/rider/pelayo-sanchez-mayo
335,Mathias  Norsgaard,Movistar Team,5 May 1997,Denmark,2.02,81.0,212,96,121,2,483,3,867,https://www.procyclingstats.com/rider/mathias-norsgaard
336,Carlos  Canal,Movistar Team,28 June 2001,Spain,1.79,70.0,293,210,132,131,104,424,239,https://www.procyclingstats.com/rider/carlos-canal
337,Javier  Romo,Movistar Team,6 January 1999,Spain,1.84,70.0,103,376,12,265,54,123,244,https://www.procyclingstats.com/rider/javier-romo
338,Jorge  Arcas,Movistar Team,8 July 1992,Spain,1.87,68.0,158,245,17,84,49,104,0,https://www.procyclingstats.com/rider/jorge-arcas
339,Albert  Torres,Movistar Team,26 April 1990,Spain,1.8,70.0,179,165,128,27,75,80,0,https://www.procyclingstats.com/rider/albert-torres
340,Sergio  Samitier,Movistar Team,31 August 1995,Spain,1.81,63.0,99,292,0,148,0,92,1301,https://www.procyclingstats.com/rider/sergio-samitier
341,Jon  Barrenetxea,Movistar Team,20 April 2000,Spain,1.88,74.0,176,116,20,102,5,274,392,https://www.procyclingstats.com/rider/jon-barrenetxea-golzarri
342,Johan  Jacobs,Movistar Team,1 March 1997,Switzerland,1.92,78.0,230,76,52,13,13,44,894,https://www.procyclingstats.com/rider/johan-jacobs
343,Iván  Romeo,Movistar Team,16 August 2003,Spain,1.93,75.0,146,98,55,16,194,36,288,https://www.procyclingstats.com/rider/ivan-romeo
344,Lorenzo  Milesi,Movistar Team,19 March 2002,Italy,1.8,70.0,119,73,2,35,240,118,514,https://www.procyclingstats.com/rider/lorenzo-milesi
345,Vinícius  Rangel,noteam,26 May 2001,Brazil,1.78,64.0,104,10,2,0,20,0,2516,https://www.procyclingstats.com/rider/vinicius-rangel-costa
346,Julian  Alaphilippe,Soudal Quick-Step,11 June 1992,France,1.73,62.0,6597,2725,324,5224,1427,4565,37,https://www.procyclingstats.com/rider/julian-alaphilippe
347,Remco  Evenepoel,Soudal Quick-Step,25 January 2000,Belgium,1.71,61.0,3084,3994,120,3874,3845,1276,2,https://www.procyclingstats.com/rider/remco-evenepoel
348,Mikel  Landa,Soudal Quick-Step,13 December 1989,Spain,1.72,61.0,979,6161,25,6863,298,1136,23,https://www.procyclingstats.com/rider/mikel-landa
349,Yves  Lampaert,Soudal Quick-Step,10 April 1991,Belgium,1.8,75.0,3444,1441,1034,183,2455,1170,366,https://www.procyclingstats.com/rider/yves-lampaert
350,Tim  Merlier,Soudal Quick-Step,30 October 1992,Belgium,1.88,76.0,3731,109,4376,4,3,462,16,https://www.procyclingstats.com/rider/tim-merlier
351,Kasper  Asgreen,Soudal Quick-Step,8 February 1995,Denmark,1.92,75.0,1594,796,303,496,2362,1422,227,https://www.procyclingstats.com/rider/kasper-asgreen
352,Gianni  Moscon,Soudal Quick-Step,20 April 1994,Italy,1.8,71.0,1903,937,230,822,606,760,2066,https://www.procyclingstats.com/rider/gianni-moscon
353,Mattia  Cattaneo,Soudal Quick-Step,25 October 1990,Italy,1.84,67.0,737,1484,10,1198,1983,727,312,https://www.procyclingstats.com/rider/mattia-cattaneo
354,Fausto  Masnada,Soudal Quick-Step,6 November 1993,Italy,1.82,65.0,700,1556,20,1204,178,548,1323,https://www.procyclingstats.com/rider/fausto-masnada
355,Jan  Hirt,Soudal Quick-Step,21 January 1991,Czech Republic,1.81,62.0,129,1850,8,1636,30,128,186,https://www.procyclingstats.com/rider/jan-hirt
356,Pieter  Serry,Soudal Quick-Step,21 November 1988,Belgium,1.86,66.0,1114,844,82,566,230,678,2730,https://www.procyclingstats.com/rider/pieter-serry
357,Ilan Van Wilder,Soudal Quick-Step,14 May 2000,Belgium,1.71,64.0,521,1299,22,1096,686,604,90,https://www.procyclingstats.com/rider/ilan-van-wilder
358,Mauri  Vansevenant,Soudal Quick-Step,1 June 1999,Belgium,1.75,60.0,673,793,0,934,43,580,84,https://www.procyclingstats.com/rider/mauri-vansevenant
359,Josef  Černý,Soudal Quick-Step,11 May 1993,Czech Republic,1.88,75.0,204,692,192,62,1660,450,1097,https://www.procyclingstats.com/rider/josef-cerny
360,James  Knox,Soudal Quick-Step,4 November 1995,Great Britain,1.73,58.0,137,1167,10,798,52,354,1820,https://www.procyclingstats.com/rider/james-knox
361,Bert Van Lerberghe,Soudal Quick-Step,29 September 1992,Belgium,1.9,83.0,1191,161,652,0,48,140,1843,https://www.procyclingstats.com/rider/bert-van-lerberghe
362,Casper  Pedersen,Soudal Quick-Step,15 March 1996,Denmark,1.86,71.0,450,457,210,81,302,223,691,https://www.procyclingstats.com/rider/casper-pedersen
363,Louis  Vervaeke,Soudal Quick-Step,6 October 1993,Belgium,1.81,68.0,328,554,2,398,175,196,772,https://www.procyclingstats.com/rider/louis-vervaeke
364,Luke  Lamperti,Soudal Quick-Step,31 December 2002,United States,1.8,74.0,327,155,454,24,80,394,158,https://www.procyclingstats.com/rider/luke-lamperti
365,Jordi  Warlop,Soudal Quick-Step,4 June 1996,Belgium,1.82,72.0,553,28,322,30,0,240,3082,https://www.procyclingstats.com/rider/jordi-warlop
366,Paul  Magnier,Soudal Quick-Step,14 April 2004,France,1.87,75.0,290,18,424,60,16,208,157,https://www.procyclingstats.com/rider/paul-magnier
367,William Junior  Lecerf,Soudal Quick-Step,15 October 2002,Belgium,1.69,54.0,62,242,6,284,62,206,267,https://www.procyclingstats.com/rider/william-junior-lecerf
368,Gil  Gelders,Soudal Quick-Step,16 December 2002,Belgium,1.8,66.0,82,92,40,27,22,90,685,https://www.procyclingstats.com/rider/gil-gelders
369,Antoine  Huby,Soudal Quick-Step,19 January 2001,France,1.74,56.0,45,94,18,58,26,48,903,https://www.procyclingstats.com/rider/antoine-huby
370,Martin  Svrček,Soudal Quick-Step,17 February 2003,Slovakia,1.75,66.0,117,19,8,16,29,32,339,https://www.procyclingstats.com/rider/martin-svrcek
371,Warre  Vangheluwe,Soudal Quick-Step,23 July 2001,Belgium,1.89,79.0,55,27,140,0,11,68,736,https://www.procyclingstats.com/rider/warre-vangheluwe
372,Pepijn  Reinderink,Soudal Quick-Step,4 May 2002,Netherlands,1.79,67.0,27,15,12,56,20,46,1200,https://www.procyclingstats.com/rider/pepijn-reinderink
373,Ayco  Bastiaens,Soudal Quick-Step,3 June 1996,Belgium,1.91,76.0,10,19,8,0,0,8,0,https://www.procyclingstats.com/rider/ayco-bastiaens
374,Romain  Bardet,Team dsm-firmenich PostNL,9 November 1990,France,1.85,65.0,3378,6406,46,8226,401,1958,31,https://www.procyclingstats.com/rider/romain-bardet
375,John  Degenkolb,Team dsm-firmenich PostNL,7 January 1989,Germany,1.8,82.0,6411,1226,3236,315,297,3305,409,https://www.procyclingstats.com/rider/john-degenkolb
376,Warren  Barguil,Team dsm-firmenich PostNL,28 October 1991,France,1.83,61.0,2639,2988,80,3854,100,1890,229,https://www.procyclingstats.com/rider/warren-barguil
377,Fabio  Jakobsen,Team dsm-firmenich PostNL,31 August 1996,Netherlands,1.81,78.0,1883,143,3627,6,38,654,245,https://www.procyclingstats.com/rider/fabio-jakobsen
378,Patrick  Bevin,Team dsm-firmenich PostNL,15 February 1991,New Zealand,1.8,75.0,83,785,160,516,1559,1014,0,https://www.procyclingstats.com/rider/patrick-bevin
379,Timo  Roosen,Team dsm-firmenich PostNL,11 January 1993,Netherlands,1.93,78.0,1025,417,386,146,200,551,2770,https://www.procyclingstats.com/rider/timo-roosen
380,Emīls  Liepiņš,Team dsm-firmenich PostNL,29 October 1992,Latvia,1.75,67.0,747,266,1038,12,252,192,328,https://www.procyclingstats.com/rider/emils-liepins
381,Chris  Hamilton,Team dsm-firmenich PostNL,18 May 1995,Australia,1.78,70.0,244,818,10,536,74,398,437,https://www.procyclingstats.com/rider/chris-hamilton
382,Oscar  Onley,Team dsm-firmenich PostNL,13 October 2002,Great Britain,1.73,62.0,122,995,5,678,127,520,53,https://www.procyclingstats.com/rider/oscar-onley
383,Bram  Welten,Team dsm-firmenich PostNL,29 March 1997,Netherlands,1.88,81.0,1047,45,819,0,0,118,956,https://www.procyclingstats.com/rider/bram-welten
384,Kevin  Vermaerke,Team dsm-firmenich PostNL,16 October 2000,United States,1.81,67.0,540,575,14,460,11,520,82,https://www.procyclingstats.com/rider/kevin-vermaerke
385,Nils  Eekhoff,Team dsm-firmenich PostNL,23 January 1998,Netherlands,1.92,75.0,561,279,588,0,222,256,369,https://www.procyclingstats.com/rider/nils-eekhoff
386,Max  Poole,Team dsm-firmenich PostNL,1 March 2003,Great Britain,1.85,0.0,0,814,6,622,123,302,76,https://www.procyclingstats.com/rider/max-poole
387,Romain  Combaud,Team dsm-firmenich PostNL,1 April 1991,France,1.75,63.0,446,437,18,136,0,182,0,https://www.procyclingstats.com/rider/romain-combaud
388,Martijn  Tusveld,Team dsm-firmenich PostNL,9 September 1993,Netherlands,1.88,70.0,187,560,28,197,313,254,1561,https://www.procyclingstats.com/rider/martijn-tusveld
389,Alex  Edmondson,Team dsm-firmenich PostNL,22 December 1993,Australia,1.83,75.0,187,291,106,0,573,278,3107,https://www.procyclingstats.com/rider/alexander-edmondson
390,Casper van Uden,Team dsm-firmenich PostNL,22 July 2001,Netherlands,1.81,0.0,454,87,910,1,16,135,231,https://www.procyclingstats.com/rider/casper-van-uden
391,Tobias Lund  Andresen,Team dsm-firmenich PostNL,20 August 2002,Denmark,1.81,69.0,214,115,518,88,8,444,225,https://www.procyclingstats.com/rider/tobias-lund-andresen
392,Pavel  Bittner,Team dsm-firmenich PostNL,29 October 2002,Czech Republic,1.84,73.0,276,59,264,39,22,336,130,https://www.procyclingstats.com/rider/pavel-bittner
393,Frank van den Broek,Team dsm-firmenich PostNL,28 December 2000,Netherlands,1.78,70.0,51,312,24,215,52,177,194,https://www.procyclingstats.com/rider/frank-van-den-broek
394,Julius van den Berg,Team dsm-firmenich PostNL,23 October 1996,Netherlands,1.9,78.0,158,201,274,8,78,50,0,https://www.procyclingstats.com/rider/julius-van-den-berg
395,Gijs  Leemreize,Team dsm-firmenich PostNL,23 October 1999,Netherlands,1.9,66.0,42,249,0,430,40,183,521,https://www.procyclingstats.com/rider/gijs-leemreize
396,Matthew  Dinham,Team dsm-firmenich PostNL,9 April 2000,Australia,1.75,63.0,248,140,6,100,8,161,0,https://www.procyclingstats.com/rider/matthew-dinham
397,Sean  Flynn,Team dsm-firmenich PostNL,2 March 2000,Great Britain,1.77,67.0,105,196,136,55,20,182,559,https://www.procyclingstats.com/rider/sean-flynn
398,Niklas  Märkl,Team dsm-firmenich PostNL,3 March 1999,Germany,1.85,70.0,179,81,204,22,45,168,1518,https://www.procyclingstats.com/rider/niklas-markl
399,Enzo  Leijnse,Team dsm-firmenich PostNL,16 July 2001,Netherlands,1.94,0.0,24,35,20,5,15,6,1899,https://www.procyclingstats.com/rider/enzo-leijnse
400,Tim  Naberman,Team dsm-firmenich PostNL,11 May 1999,Netherlands,1.87,70.0,15,35,0,0,0,3,0,https://www.procyclingstats.com/rider/tim-naberman
401,Patrick  Eddy,Team dsm-firmenich PostNL,17 October 2002,Australia,1.85,79.0,21,15,12,4,69,15,2052,https://www.procyclingstats.com/rider/patrick-eddy
402,Bjoern  Koerdt,CC Étupes,20 July 2004,Great Britain,0.0,0.0,0,0,0,5,0,18,0,https://www.procyclingstats.com/rider/bjoern-koerdt
403,Michael  Matthews,Team Jayco AlUla,26 September 1990,Australia,1.78,72.0,7437,862,1434,2189,1678,7334,30,https://www.procyclingstats.com/rider/michael-matthews
404,Simon  Yates,Team Jayco AlUla,7 August 1992,Great Britain,1.72,58.0,1188,5280,34,5860,1199,1710,88,https://www.procyclingstats.com/rider/simon-yates
405,Dylan  Groenewegen,Team Jayco AlUla,21 June 1993,Netherlands,1.77,70.0,3987,380,6112,38,15,967,51,https://www.procyclingstats.com/rider/dylan-groenewegen
406,Caleb  Ewan,Team Jayco AlUla,11 July 1994,Australia,1.67,69.0,2567,333,4365,186,148,2104,226,https://www.procyclingstats.com/rider/caleb-ewan
407,Luka  Mezgec,Team Jayco AlUla,27 June 1988,Slovenia,1.83,72.0,1611,630,1186,238,33,2207,594,https://www.procyclingstats.com/rider/luka-mezgec
408,Luke  Durbridge,Team Jayco AlUla,9 April 1991,Australia,1.87,78.0,863,1296,154,62,2367,364,0,https://www.procyclingstats.com/rider/luke-durbridge
409,Max  Walscheid,Team Jayco AlUla,13 June 1993,Germany,1.99,90.0,1665,328,1930,17,897,410,218,https://www.procyclingstats.com/rider/max-walscheid
410,Alessandro De Marchi,Team Jayco AlUla,19 May 1986,Italy,1.81,65.0,1054,638,0,1506,519,836,1195,https://www.procyclingstats.com/rider/alessandro-de-marchi
411,Eddie  Dunbar,Team Jayco AlUla,1 September 1996,Ireland,1.7,57.0,342,1421,24,996,226,432,140,https://www.procyclingstats.com/rider/edward-irl-dunbar
412,Christopher  Juul-Jensen,Team Jayco AlUla,6 July 1989,Denmark,1.83,73.0,697,1122,2,154,357,218,0,https://www.procyclingstats.com/rider/christopher-juul-jensen
413,Lucas  Hamilton,Team Jayco AlUla,12 February 1996,Australia,1.84,71.0,396,1125,40,870,84,472,1420,https://www.procyclingstats.com/rider/lucas-hamilton
414,Mauro  Schmid,Team Jayco AlUla,4 December 1999,Switzerland,1.87,70.0,295,896,6,801,558,784,116,https://www.procyclingstats.com/rider/mauro-schmid
415,Filippo  Zana,Team Jayco AlUla,18 March 1999,Italy,1.85,65.0,480,990,10,946,67,430,123,https://www.procyclingstats.com/rider/filippo-zana
416,Chris  Harper,Team Jayco AlUla,23 November 1994,Australia,1.85,67.0,420,981,68,759,278,216,242,https://www.procyclingstats.com/rider/chris-harper
417,Lawson  Craddock,Team Jayco AlUla,20 February 1992,United States,1.78,69.0,211,862,41,522,1540,500,1730,https://www.procyclingstats.com/rider/lawson-craddock
418,Amund Grøndahl  Jansen,Team Jayco AlUla,11 February 1994,Norway,1.87,83.0,831,548,292,116,44,432,2512,https://www.procyclingstats.com/rider/amund-grondahl-jansen
419,Michael  Hepburn,Team Jayco AlUla,17 August 1991,Australia,1.86,77.0,200,409,37,31,1725,118,1676,https://www.procyclingstats.com/rider/michael-hepburn
420,Luke  Plapp,Team Jayco AlUla,25 December 2000,Australia,1.81,72.0,100,575,23,420,387,272,145,https://www.procyclingstats.com/rider/luke-plapp
421,Elmar  Reinders,Team Jayco AlUla,14 March 1992,Netherlands,1.9,78.1,494,161,346,22,117,70,859,https://www.procyclingstats.com/rider/elmar-reinders
422,Felix  Engelhardt,Team Jayco AlUla,19 August 2000,Germany,1.8,68.0,364,202,8,148,1,292,639,https://www.procyclingstats.com/rider/felix-engelhardt
423,Callum  Scotson,Team Jayco AlUla,10 August 1996,Australia,1.83,77.0,32,368,28,166,102,96,495,https://www.procyclingstats.com/rider/callum-scotson
424,Anders  Foldager,Team Jayco AlUla,27 July 2001,Denmark,1.81,69.0,230,203,19,91,8,228,197,https://www.procyclingstats.com/rider/anders-foldager
425,Davide De Pretto,Team Jayco AlUla,19 April 2002,Italy,1.72,58.0,346,57,35,166,0,394,200,https://www.procyclingstats.com/rider/davide-de-pretto
426,Jesús David  Peña,Team Jayco AlUla,8 May 2000,Colombia,1.7,56.0,34,279,4,184,0,76,794,https://www.procyclingstats.com/rider/jesus-david-pena-jimenez
427,Kelland  O'Brien,Team Jayco AlUla,22 May 1998,Australia,1.95,79.0,225,86,28,4,164,116,487,https://www.procyclingstats.com/rider/kelland-brien
428,Jan  Maas,Team Jayco AlUla,19 February 1996,Netherlands,1.89,69.0,141,155,12,81,12,97,1504,https://www.procyclingstats.com/rider/jan-maas
429,Campbell  Stewart,Team Jayco AlUla,12 May 1998,New Zealand,1.8,76.0,60,68,187,0,30,71,2496,https://www.procyclingstats.com/rider/campbell-stewart
430,Welay Hagos  Berhe,Team Jayco AlUla,22 October 2001,Ethiopia,1.7,58.0,14,196,0,119,0,44,721,https://www.procyclingstats.com/rider/welay-hagos-berhe
431,Blake  Quick,Team Jayco AlUla,26 February 2000,Australia,1.87,77.0,51,20,234,14,41,144,2124,https://www.procyclingstats.com/rider/blake-quick
432,Wout van Aert,Team Visma | Lease a Bike,15 September 1994,Belgium,1.9,78.0,7194,1171,1886,2044,2944,4221,10,https://www.procyclingstats.com/rider/wout-van-aert
433,Robert  Gesink,Team Visma | Lease a Bike,31 May 1986,Netherlands,1.9,70.0,2888,5209,30,4250,1196,1400,1318,https://www.procyclingstats.com/rider/robert-gesink
434,Wilco  Kelderman,Team Visma | Lease a Bike,25 March 1991,Netherlands,1.85,65.0,754,6009,84,4954,2687,2492,103,https://www.procyclingstats.com/rider/wilco-kelderman
435,Jonas  Vingegaard,Team Visma | Lease a Bike,10 December 1996,Denmark,1.75,58.0,320,4686,34,4187,1884,1379,7,https://www.procyclingstats.com/rider/jonas-vingegaard
436,Tiesj  Benoot,Team Visma | Lease a Bike,11 March 1994,Belgium,1.9,72.0,4887,1912,376,2621,83,2866,65,https://www.procyclingstats.com/rider/tiesj-benoot
437,Christophe  Laporte,Team Visma | Lease a Bike,11 December 1992,France,1.91,76.0,4166,950,2068,368,901,1738,45,https://www.procyclingstats.com/rider/christophe-laporte
438,Steven  Kruijswijk,Team Visma | Lease a Bike,7 June 1987,Netherlands,1.78,63.0,344,4454,16,3977,1440,1318,910,https://www.procyclingstats.com/rider/steven-kruijswijk
439,Dylan van Baarle,Team Visma | Lease a Bike,21 May 1992,Netherlands,1.89,78.0,2652,1429,176,514,1298,1470,1728,https://www.procyclingstats.com/rider/dylan-van-baarle
440,Sepp  Kuss,Team Visma | Lease a Bike,13 September 1994,United States,1.82,61.0,193,2552,22,3266,314,561,168,https://www.procyclingstats.com/rider/sepp-kuss
441,Olav  Kooij,Team Visma | Lease a Bike,17 October 2001,Netherlands,1.84,72.0,1552,560,2600,48,72,767,32,https://www.procyclingstats.com/rider/olav-kooij
442,Matteo  Jorgenson,Team Visma | Lease a Bike,1 July 1999,United States,1.9,69.0,776,1642,107,1363,494,1006,13,https://www.procyclingstats.com/rider/matteo-jorgenson
443,Jan  Tratnik,Team Visma | Lease a Bike,23 February 1990,Slovenia,1.73,67.0,1217,860,142,586,1754,832,95,https://www.procyclingstats.com/rider/jan-tratnik
444,Tosh Van der Sande,Team Visma | Lease a Bike,28 November 1990,Belgium,1.78,67.0,894,778,456,237,0,1514,2418,https://www.procyclingstats.com/rider/tosh-van-der-sande
445,Attila  Valter,Team Visma | Lease a Bike,12 June 1998,Hungary,1.85,65.0,696,1098,30,1191,287,544,85,https://www.procyclingstats.com/rider/attila-valter
446,Koen  Bouwman,Team Visma | Lease a Bike,2 December 1993,Netherlands,1.78,60.0,156,964,42,614,447,366,422,https://www.procyclingstats.com/rider/koen-bouwman
447,Julien  Vermote,Team Visma | Lease a Bike,26 July 1989,Belgium,1.79,74.0,552,664,71,52,428,186,1846,https://www.procyclingstats.com/rider/julien-vermote
448,Edoardo  Affini,Team Visma | Lease a Bike,24 June 1996,Italy,1.9,80.0,152,254,209,6,1853,136,173,https://www.procyclingstats.com/rider/edoardo-affini
449,Ben  Tulett,Team Visma | Lease a Bike,26 August 2001,Great Britain,1.69,56.0,202,641,8,288,447,450,1439,https://www.procyclingstats.com/rider/ben-tulett
450,Cian  Uijtdebroeks,Team Visma | Lease a Bike,28 February 2003,Belgium,1.85,68.0,41,779,0,814,88,190,275,https://www.procyclingstats.com/rider/cian-uijtdebroeks
451,Per Strand  Hagenes,Team Visma | Lease a Bike,10 July 2003,Norway,1.86,0.0,358,309,164,50,114,214,153,https://www.procyclingstats.com/rider/per-strand-hagenes
452,Bart  Lemmen,Team Visma | Lease a Bike,14 October 1995,Netherlands,1.8,0.0,151,427,28,219,96,282,143,https://www.procyclingstats.com/rider/bart-lemmen
453,Mick van Dijke,Team Visma | Lease a Bike,15 March 2000,Netherlands,1.9,74.0,157,306,210,54,259,232,462,https://www.procyclingstats.com/rider/mick-van-dijke
454,Tim van Dijke,Team Visma | Lease a Bike,15 March 2000,Netherlands,1.89,74.0,260,124,253,39,347,126,297,https://www.procyclingstats.com/rider/tim-van-dijke
455,Milan  Vader,Team Visma | Lease a Bike,18 February 1996,Netherlands,1.73,63.0,30,328,16,78,1,126,1364,https://www.procyclingstats.com/rider/milan-vader
456,Johannes  Staune-Mittet,Team Visma | Lease a Bike,18 January 2002,Norway,1.82,0.0,65,245,12,210,63,72,606,https://www.procyclingstats.com/rider/johannes-staune-mittet
457,Thomas  Gloag,Team Visma | Lease a Bike,13 September 2001,Great Britain,1.81,60.0,58,193,14,241,0,88,2303,https://www.procyclingstats.com/rider/thomas-gloag
458,Michel  Hessmann,Team Visma | Lease a Bike,6 April 2001,Germany,1.91,78.0,27,75,14,46,45,87,0,https://www.procyclingstats.com/rider/michel-hessmann
459,Loe van Belle,Team Visma | Lease a Bike,24 January 2002,Netherlands,1.84,0.0,56,22,85,28,95,60,1424,https://www.procyclingstats.com/rider/loe-van-belle
460,Tadej  Pogačar,UAE Team Emirates,21 September 1998,Slovenia,1.77,66.0,6177,6344,119,7913,2533,3310,1,https://www.procyclingstats.com/rider/tadej-pogacar
461,Diego  Ulissi,UAE Team Emirates,15 July 1989,Italy,1.75,63.0,5230,5500,124,4532,1117,4464,49,https://www.procyclingstats.com/rider/diego-ulissi
462,Adam  Yates,UAE Team Emirates,7 August 1992,Great Britain,1.73,58.0,2299,6758,64,7018,1213,1934,22,https://www.procyclingstats.com/rider/adam-yates
463,Rafał  Majka,UAE Team Emirates,12 September 1989,Poland,1.73,62.0,1183,5561,40,6264,919,1906,259,https://www.procyclingstats.com/rider/rafal-majka
464,Tim  Wellens,UAE Team Emirates,10 May 1991,Belgium,1.82,71.0,3917,4226,178,2290,1406,2758,41,https://www.procyclingstats.com/rider/tim-wellens
465,Marc  Hirschi,UAE Team Emirates,24 August 1998,Switzerland,1.74,61.0,4722,1417,75,2072,334,2172,6,https://www.procyclingstats.com/rider/marc-hirschi
466,João  Almeida,UAE Team Emirates,5 August 1998,Portugal,1.78,63.0,421,3874,47,3720,2368,986,25,https://www.procyclingstats.com/rider/joao-almeida
467,Brandon  McNulty,UAE Team Emirates,2 April 1998,United States,1.83,69.0,949,2153,54,1800,2105,927,21,https://www.procyclingstats.com/rider/brandon-mcnulty
468,Marc  Soler,UAE Team Emirates,22 November 1993,Spain,1.86,68.0,292,2396,8,2858,764,1194,92,https://www.procyclingstats.com/rider/marc-soler
469,Felix  Großschartner,UAE Team Emirates,23 December 1993,Austria,1.84,64.0,477,2602,85,1436,1208,1404,211,https://www.procyclingstats.com/rider/felix-grossschartner
470,Pavel  Sivakov,UAE Team Emirates,11 July 1997,France,1.88,70.0,1013,2410,23,1960,506,594,78,https://www.procyclingstats.com/rider/pavel-sivakov
471,Nils  Politt,UAE Team Emirates,6 March 1994,Germany,1.92,80.0,2206,1015,472,152,1244,1423,44,https://www.procyclingstats.com/rider/nils-politt
472,Juan  Ayuso,UAE Team Emirates,16 September 2002,Spain,1.83,65.0,810,1615,2,1687,1043,640,24,https://www.procyclingstats.com/rider/juan-ayuso-pesquera
473,Juan Sebastián  Molano,UAE Team Emirates,4 November 1994,Colombia,1.8,72.0,832,289,1630,86,0,979,209,https://www.procyclingstats.com/rider/juan-sebastian-molano
474,Mikkel  Bjerg,UAE Team Emirates,3 November 1998,Denmark,1.9,78.0,466,429,140,116,2295,322,111,https://www.procyclingstats.com/rider/mikkel-bjerg
475,Jay  Vine,UAE Team Emirates,16 November 1995,Australia,1.84,69.0,66,748,9,900,805,314,118,https://www.procyclingstats.com/rider/jay-vine
476,Álvaro José  Hodeg,UAE Team Emirates,16 September 1996,Colombia,1.86,76.0,702,75,1564,0,49,303,0,https://www.procyclingstats.com/rider/alvaro-jose-hodeg
477,Vegard Stake  Laengen,UAE Team Emirates,7 February 1989,Norway,1.95,79.0,554,748,0,269,382,175,2870,https://www.procyclingstats.com/rider/vegard-stake-laengen
478,Alessandro  Covi,UAE Team Emirates,28 September 1998,Italy,1.8,66.0,846,187,48,597,6,587,483,https://www.procyclingstats.com/rider/alessandro-covi
479,Isaac del Toro,UAE Team Emirates,27 November 2003,Mexico,1.8,0.0,110,624,1,434,139,276,57,https://www.procyclingstats.com/rider/isaac-del-toro
480,Rui  Oliveira,UAE Team Emirates,5 September 1996,Portugal,1.83,66.0,526,151,372,44,26,532,271,https://www.procyclingstats.com/rider/rui-oliveira
481,Finn  Fisher-Black,UAE Team Emirates,21 December 2001,New Zealand,1.89,73.0,139,491,28,274,435,418,169,https://www.procyclingstats.com/rider/finn-fisher-black
482,Sjoerd  Bax,UAE Team Emirates,6 January 1996,Netherlands,1.85,78.0,301,305,72,92,198,261,1006,https://www.procyclingstats.com/rider/sjoerd-bax
483,Filippo  Baroncini,UAE Team Emirates,26 August 2000,Italy,1.88,74.0,455,212,98,138,278,334,178,https://www.procyclingstats.com/rider/filippo-baroncini
484,Domen  Novak,UAE Team Emirates,12 July 1995,Slovenia,1.81,70.0,76,475,19,269,28,75,570,https://www.procyclingstats.com/rider/domen-novak
485,Jan  Christen,UAE Team Emirates,26 June 2004,Switzerland,1.83,60.0,408,79,31,168,175,218,101,https://www.procyclingstats.com/rider/jan-christen
486,António  Morgado,UAE Team Emirates,28 January 2004,Portugal,1.8,71.0,378,87,78,79,48,174,129,https://www.procyclingstats.com/rider/antonio-morgado
487,Ivo  Oliveira,UAE Team Emirates,5 September 1996,Portugal,1.85,68.0,100,185,82,24,520,217,497,https://www.procyclingstats.com/rider/ivo-emanuel-alves
488,Michael  Vink,UAE Team Emirates,22 November 1991,New Zealand,1.9,73.0,69,188,39,41,306,22,2670,https://www.procyclingstats.com/rider/michael-vink
489,Rein  Taaramäe,Intermarché - Wanty,24 April 1987,Estonia,1.86,68.0,737,2974,30,1836,1547,666,1093,https://www.procyclingstats.com/rider/rein-taaramae
490,Louis  Meintjes,Intermarché - Wanty,21 February 1992,South Africa,1.73,58.0,669,3164,4,3264,347,481,385,https://www.procyclingstats.com/rider/louis-meintjes
491,Mike  Teunissen,Intermarché - Wanty,25 August 1992,Netherlands,1.84,73.0,2077,1400,1112,192,338,1290,152,https://www.procyclingstats.com/rider/mike-teunissen
492,Biniam  Girmay,Intermarché - Wanty,2 April 2000,Eritrea,1.84,70.0,2610,78,1099,226,112,1780,9,https://www.procyclingstats.com/rider/biniam-girmay
493,Baptiste  Planckaert,Intermarché - Wanty,28 September 1988,Belgium,1.77,65.0,3184,460,694,97,9,482,2186,https://www.procyclingstats.com/rider/baptiste-planckaert
494,Lilian  Calmejane,Intermarché - Wanty,6 December 1992,France,1.84,70.0,1061,1317,178,1055,188,1059,658,https://www.procyclingstats.com/rider/lilian-calmejane
495,Lorenzo  Rota,Intermarché - Wanty,23 May 1995,Italy,1.73,62.0,1796,792,64,1087,23,1182,162,https://www.procyclingstats.com/rider/lorenzo-rota
496,Adrien  Petit,Intermarché - Wanty,26 September 1990,France,1.88,80.0,1843,385,665,8,365,141,2315,https://www.procyclingstats.com/rider/adrien-petit
497,Dion  Smith,Intermarché - Wanty,3 March 1993,New Zealand,1.79,67.0,1107,799,244,334,71,1287,763,https://www.procyclingstats.com/rider/dion-smith
498,Gerben  Thijssen,Intermarché - Wanty,21 June 1998,Belgium,1.74,74.0,1773,41,2098,2,21,45,89,https://www.procyclingstats.com/rider/gerben-thijssen
499,Taco van der Hoorn,Intermarché - Wanty,4 December 1993,Netherlands,1.87,73.0,1288,218,905,74,2,187,664,https://www.procyclingstats.com/rider/taco-van-der-hoorn
